date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:26:20	37989/37989	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202017%2012:54:22%20GMT	http://graphicfort.com/templates/plume/page-title-medium-2-black-background.html	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/page-title-medium-2-black-background.html	(from http://graphicfort.com/templates/plume/index-cleaning.html)
22:26:21	37960/37960	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202017%2012:54:42%20GMT	http://graphicfort.com/templates/plume/page-title-small-parallax-background.html	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/page-title-small-parallax-background.html	(from http://graphicfort.com/templates/plume/index-cleaning.html)
22:26:22	37902/37902	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202017%2012:54:39%20GMT	http://graphicfort.com/templates/plume/page-title-small-grey-background.html	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/page-title-small-grey-background.html	(from http://graphicfort.com/templates/plume/index-cleaning.html)
22:26:23	37905/37905	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202017%2012:54:44%20GMT	http://graphicfort.com/templates/plume/page-title-small-white-background.html	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/page-title-small-white-background.html	(from http://graphicfort.com/templates/plume/index-cleaning.html)
22:26:24	37915/37915	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202017%2012:54:41%20GMT	http://graphicfort.com/templates/plume/page-title-small-main-background.html	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/page-title-small-main-background.html	(from http://graphicfort.com/templates/plume/index-cleaning.html)
22:26:25	37915/37915	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202017%2012:54:38%20GMT	http://graphicfort.com/templates/plume/page-title-small-black-background.html	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/page-title-small-black-background.html	(from http://graphicfort.com/templates/plume/index-cleaning.html)
22:26:26	38232/38232	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202017%2012:54:51%20GMT	http://graphicfort.com/templates/plume/page-title-wide-parallax-background.html	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/page-title-wide-parallax-background.html	(from http://graphicfort.com/templates/plume/index-cleaning.html)
22:26:27	38151/38151	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202017%2012:54:47%20GMT	http://graphicfort.com/templates/plume/page-title-wide-grey-background.html	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/page-title-wide-grey-background.html	(from http://graphicfort.com/templates/plume/index-cleaning.html)
22:26:28	38149/38149	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202017%2012:54:52%20GMT	http://graphicfort.com/templates/plume/page-title-wide-white-background.html	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/page-title-wide-white-background.html	(from http://graphicfort.com/templates/plume/index-cleaning.html)
22:26:29	38176/38176	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202017%2012:54:49%20GMT	http://graphicfort.com/templates/plume/page-title-wide-main-background.html	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/page-title-wide-main-background.html	(from http://graphicfort.com/templates/plume/index-cleaning.html)
22:26:30	38177/38177	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202017%2012:54:46%20GMT	http://graphicfort.com/templates/plume/page-title-wide-black-background.html	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/page-title-wide-black-background.html	(from http://graphicfort.com/templates/plume/index-cleaning.html)
22:26:31	38109/38109	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202017%2012:54:35%20GMT	http://graphicfort.com/templates/plume/page-title-minimal-parallax-background.html	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/page-title-minimal-parallax-background.html	(from http://graphicfort.com/templates/plume/index-cleaning.html)
22:26:32	38037/38037	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202017%2012:54:32%20GMT	http://graphicfort.com/templates/plume/page-title-minimal-grey-background.html	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/page-title-minimal-grey-background.html	(from http://graphicfort.com/templates/plume/index-cleaning.html)
22:26:33	38041/38041	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202017%2012:54:36%20GMT	http://graphicfort.com/templates/plume/page-title-minimal-white-background.html	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/page-title-minimal-white-background.html	(from http://graphicfort.com/templates/plume/index-cleaning.html)
22:26:34	38049/38049	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202017%2012:54:32%20GMT	http://graphicfort.com/templates/plume/page-title-minimal-main-background.html	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/page-title-minimal-main-background.html	(from http://graphicfort.com/templates/plume/index-cleaning.html)
22:26:35	38051/38051	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202017%2012:54:29%20GMT	http://graphicfort.com/templates/plume/page-title-minimal-black-background.html	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/page-title-minimal-black-background.html	(from http://graphicfort.com/templates/plume/index-cleaning.html)
22:26:36	45752/45752	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202017%2012:51:40%20GMT	http://graphicfort.com/templates/plume/events-right-sidebar.html	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/events-right-sidebar.html	(from http://graphicfort.com/templates/plume/index-cleaning.html)
